Dish,Category,Make next,Make soon?,required pre-prepared ingredient?,Requires,Vegetable ingredients,Vegetable 1,Vegetable 2,Vegetable 3,Vegetable 4,Meat ingredients,Meat 1,Meat 2,Meat 3,Seafood ingredients,Seafood 1,Seafood 2,Seafood 3,Herbs,Herb 1,Herb 2,Herb 3,Herb 4,Pre-prepared ingredients,Pre-prepared ingredient 1,Pre-prepared ingredient 2,Pre-prepared ingredient 3,"Grains, tubers or pulses",Grain/tuber/pulse 1,Grain/tuber/pulse 2,Dairy ingredients,Dairy 1,Dairy 2,Other (non-storecupboard) ingredients,Other ingredient 1,Other ingredient 2,Other ingredient 3,Method and other info,Method,Cuisine,Tags,url 1,url 2,url 3,Book,Page number,Picture 1,Picture 2,Picture 3,Comments
Bittergourd and egg,Vegetable dishes,01/10/2017,,FALSE,;Bittergourd;Spring onion;Chicken stock;Salted egg;,,Bittergourd,,,,,,,,,,,,,Spring onion,,,,,Chicken stock,,,,,,,,,,Salted egg,,,,"Steam salted egg yolks with rice wine and sesame oil, mash.
Remove pith, slice half moons, salt and rinse gourd.
Fry with garlic, spring onion white and (optionally) black beans. Add stock, season (maybe sugar).",Chinese,"Claudia favourite, Peter favourite, Quick preparation",,,,,,,,,
Roast chicken,Meat dishes,04/08/2016,,FALSE,";Chicken, whole;Parsley;Thyme;Rosemary;",,,,,,,"Chicken, whole",,,,,,,,Parsley,Thyme,Rosemary,,,,,,,,,,,,,,,,,"Separate skin and make drainage slits before brining.

Brine:
(divide by 5 for boneless pieces)
3.8l water (760ml)
250g salt (50g)
120g honey (25g)
12 bay leaves
1/2 cup garlic cloves, skin left on, smashed
2 tablespoons black peppercorns
15g (3 large) rosemary sprigs
15g (1 large bunch) thyme sprigs
55g (1 large bunch) flat leafed parsley sprigs
Grated zest and juice of 2 large lemons.

Boil with half the water, cool with remaining water, chill, brine whole chicken for 12 hours, boneless pieces for 6 hours.

OR: dry rub with salt and baking powder (4:1), 12-24 hours.

insert empty beer can and seal neck hole with bull dog clip. Roast vertically until internal temp reaches 60C.  OR: spatchcock. Remove from oven, increase to max, return until brown. Or high temp first?",,,http://modernistcuisine.com/2013/08/beer-can-chicken-popular-classic-based-on-science/,,,,,,,,
Pork and lotus root,Soups,07/03/2016,,FALSE,";Lotus root;Pork, ribs;",,Lotus root,,,,,"Pork, ribs",,,,,,,,,,,,,,,,,,,,,,,,,,,"Soak pork ribs in cold water for an hour.

Peel lotus root and cut 1cm-thick. Simmer for 30 minutes. Blanch pork.

Cook pork, lotus, dried scallops, raw peanuts in fresh water. Optional: black fungus, konbu and a few ginger slices. 75C for 12+ hours. Not too much water.

Season, serve with soy garlic chili lemon sauce.",,,,,,,,,,,
Chocolate fondants,Desserts,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"For 2 fondants:
50g each of butter, chocolate, sugar, flour; 1 egg + 1 egg yolk.

Brush moulds with melted butter, chill. Brush with more butter then cocao.

Melt butter and choc in bain marie. Cool slightly.

Whisk eggs and sugar. Sift in flour. Gradually add chocolate/butter.

Pour in moulds. Chill or freeze.

Bake 9 min at 200C (14 mins if frozen).

Optional: insert frozen salted caramel ball before baking.

Serve with ice cream.",,,,,,,,,,,
Twice-cooked pork,Meat dishes,06/09/2016,,FALSE,";Pork, belly;Brined garlic chives;",,,,,,,"Pork, belly",,,,,,,,,,,,,Brined garlic chives,,,,,,,,,,,,,,"Brine and sous vide pork, skin on. Chill then slice.
Fry in hot wok, remove.
Lower heat, add chili bean sauce, then garlic chives, black beans, hoi sin and dark soy. Return pork.",,,,,,,,,,,
Spinach and egg,Soups,09/04/2016,,FALSE,;Spinach;Chicken stock;Salted egg;,,Spinach,,,,,,,,,,,,,,,,,,Chicken stock,,,,,,,,,,Salted egg,,,,"Wilt spinach in stock. Sesame oil, fish sauce, white  pepper and salt to taste.
Add beaten eggs.
Garnish with spring onion.",Chinese,,,,,,,,,,
Fennel and feta,Salads,15/03/2016,,FALSE,;Fennel;pomegranate;Tarragon;Parsley;Feta;,,Fennel,pomegranate,,,,,,,,,,,,Tarragon,Parsley,,,,,,,,,,,Feta,,,,,,,"slice fennel with mandolin
feta = 1cm cube
deseed pomegranate
roughly chop parsley, tarragon & fennel tops
 dressing: lemon,  sumac, salt, pepper, olive oil",,,,,,Ottolenghi the Cookbook,17,,,,
Pork and taro stew,Meat dishes,30/11/2016,,FALSE,";Pork, ribs;Spring onion;Taro;",,,,,,,"Pork, ribs",,,,,,,,Spring onion,,,,,,,,,Taro,,,,,,,,,,"Brine pork with dark soy and rice wine.

Sear pork in dutch oven with smashed ginger, lower heat and add garlic and shallots.
Add sauce: rice wine, black beans, hoisin, soy, salt, five spice, white pepper and sesame oil.
Cover with chicken stock, simmer 45 minutes. Or: sous vide @ 57C for 12+ hrs.
Cut taro to rib size, shallow fry ~150C until golden. Sprinkle with salt.
Cook taro in porky liquid ~15mins. Garnish with spring onion ears.",Chinese,,,,,,,,,,
Fried pork toast,Meat dishes,09/04/2016,,FALSE,";Pork, mince;Coriander;Coriander, root;Country bread;",,,,,,,"Pork, mince",,,,,,,,Coriander,"Coriander, root",,,,,,,,,,,,,,Country bread,,,,,,,http://www.rachelcooksthai.com/thai-pork-toast/,,,,,,,,
Ginger-galangal chicken,Meat dishes,05/04/2016,,FALSE,";Chicken, leg;Spring onion;Galangal;Turmeric, fresh;",,,,,,,"Chicken, leg",,,,,,,,Spring onion,,,,,,,,,,,,,,,Galangal,"Turmeric, fresh",,,"Marinade chicken overnight in dry rub:

3 tsp salt
1 1/2 tsp sugar
1/8 tsp white pepper
½ tsp ground sichuan peppercorns
1/8 tsp garlic powder
½ tsp onion powder
1/8 tsp five spice powder
1 tbsp three ginger tea or
Fresh galangal, 3 slices
Fresh ginger, 2 slices
Fresh tumeric, 1 slice

Roast or deep fry, garnish with spring onion.",,,,,,,,,,,
Crispy stuffed lotus root,Meat dishes,04/04/2016,,FALSE,";Lotus root;Pork, mince;Spring onion;",,Lotus root,,,,,"Pork, mince",,,,,,,,Spring onion,,,,,,,,,,,,,,,,,,,"Mix filling:
170g pork mince
1/2 tablespoon rice wine
1 tablespoons light soy sauce
25g water
1 teaspoons sesame oil
1/2 teaspoon cornstarch
white pepper
1 spring onion, very finely chopped
1 slice ginger, finely minced

Slice lotus root into 1/4 inch clam shells, sandwich with filling.

Make batter:
25g AP flour
25g glutinous rice flour/cornstarch
salt
five-spice powder
30g water
50g beer

Fry in batches ~6 minutes at 135C. Re-fry at 165C ~3 minutes until golden.",,,,,,,,,,,
Braised lettuce with tomato,Vegetable dishes,16/07/2016,,FALSE,";Lettuce;Tomatoes, fresh;Spring onion;",,Lettuce,"Tomatoes, fresh",,,,,,,,,,,,Spring onion,,,,,,,,,,,,,,,,,,,"Mix crazy water:
tomato juice
fish sauce
honey
garlic
sauerkraut
lemon juice

Fry onion
Add lettuce with crazy water, stock (fish or chicken) if available.
Add spring onion and tomato flesh. Thicken with potato starch or ground bonito if desired.
Option: blend and serve as soup (hot or cold). Thin with chicken stock or water if necessary.",,,,,,,,,,,
Labneh,Pre-prepared ingredients,4/24/2016,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"salt yoghurt until you can taste it. Strain overnight until thick mayonnaise.
to make yoghurt: gently simmer milk until reduced 1/3. add cream and, when blood temperature, a few spoons of yoghurt. set overnight.",,,,,,,,,,,
Labneh cheesecake,Desserts,25/04/2016,,FALSE,";pomegranate;Rhubarb;Orange, zest;Labneh;Cream, double;Cream cheese;",,pomegranate,Rhubarb,"Orange, zest",,,,,,,,,,,,,,,,Labneh,,,,,,,"Cream, double",Cream cheese,,,,,,"Case
Rub together:
100g butter
80g dark brown sugar
50g ap flour
75g ww flour
1/2 tsp baking powder
Pinch salt
1 tsp ground ginger
Zest 1 orange

Add 1 egg yolk to combine. Push dough into 7"" spring form tin, base and sides. Chill>1hr.

Zest 1 orange and deseed vanilla pod for filling. Roast 400g  rhubarb with 50g sugar, juice of 2 oranges, 2 strips of zest, vanilla pod. 200C for 8 minutes until rhubarb gives.

Bake case blind 170C 25 minutes, cool 10 mins, remove beans, bake another 10 mins.

Mix filling:
150g cream
200g cream cheese
200g labneh
Zest 1 orange
Vanilla
1tsp corn starch
40g icing sugar
1/2 the stained rhubarb
Crystallized ginger
2 tblsp pomegranate seeds

Fill pastry case, top with rest of rhubarb, and more pomegranate and ginger.",,Good for groups,,,,,,Recipes_Images/Labneh cheesecake.Picture 1.051615.jpg,,,
Chestnut and chorizo soup,Soups,,,FALSE,";Celery;Carrots;Tomatoes, fresh;Chorizo;Thyme;Chestnuts;",,Celery,Carrots,"Tomatoes, fresh",,,Chorizo,,,,,,,,Thyme,,,,,,,,,,,,,,,Chestnuts,,,,"Caramalise mirepoix with chorizo cubes and olive oil.
Add garlic, ground cumin, thyme, dried chilli;
Tomatoes and chestnuts;
Saffron and water to cover;
Simmer until tender;
Mash and season.",,,,,,,,,,,
Fish en papillote,Seafood dishes,4/26/2016,,FALSE,";Celery;Leeks;Mushrooms;Fish, white;Parsley;Cream, double;",,Celery,Leeks,Mushrooms,,,,,,,"Fish, white",,,,Parsley,,,,,,,,,,,,"Cream, double",,,,,,,"Cut veg to matchsticks, soften in butter, add mushrooms and season.
Season fish fillets, sandwich between buttery veg in foil & butterpaper parcels. Bake in hot oven for 15 minutes.
Make beurre blanc:
Simmer sliced shallots with white wine vinegar, white wine/vermouth & fish stock.
When reduced, add cream and simmer.
Whisk in butter over low heat, season.",French,,,,,French Odessey,109,,,,
Steak salad,Salads,07/05/2016,,FALSE,";Celery;Rocket;radishes;Beef, skirt;Basil;",,Celery,Rocket,radishes,,,"Beef, skirt",,,,,,,,Basil,,,,,,,,,,,,,,,,,,,"Sous vide steak ~24 hours. Sear, slice across grain.
Mix with fried sourdough, rocket, parmesan, radishes, celery, basil, grapes, or improvise. Dress with lemon and olive oil.",,,,,,,,,,,
Sweet potato with miso,Carbohydrates,4/24/2016,,FALSE,;Sweet potato;Chestnuts;,,,,,,,,,,,,,,,,,,,,,,,,Sweet potato,,,,,,Chestnuts,,,,"Half and score sweet potatoes.
Mix glaze:
40g white miso
2 tbsp mirin
2 tsp maple syrup
1 tbsp rice vinegar
½ tsp chilli flakes
1 tbsp light soy sauce
1 tbsp groundnut oil

Roast in 200C oven for 45 minutes, adding more glaze after 15 and 30 minutes. Optional: chestnuts (~last 5 mins). Squeeze lemon. Good with labneh or yoghurt.",,,,,,,,,,,
Chye sim with peanuts and orange,Vegetable dishes,25/01/2017,,FALSE,";Chye sim;Orange, zest;",,Chye sim,"Orange, zest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fry in sufficient oil sliced garlic, julienned ginger, orange zest and peanuts until  golden. 
steam chye sim for 90 seconds
Dress with oyster, light soy, and garlic-peanut oil mixture.",,,,,,,,,,,
Chicken with mushroom & lily flower,Meat dishes,4/23/2016,,FALSE,";Chicken, leg;Spring onion;",,,,,,,"Chicken, leg",,,,,,,,Spring onion,,,,,,,,,,,,,,,,,,,"Reconstitute lily flowers and black fungus. Simmer shiitake mushrooms. Brine chicken.
Mix everything & marinade overnight with:
vegetable oil
sesame oil
rice wine
oyster sauce
grated ginger
spring onion whites
cornstarch slurry
sugar, salt, white pepper

Steam for 10 minutes or sous vide. Garnish with spring onion greens.",,,,,,,,,,,
Ayam sioh,Meat dishes,25/01/2017,,FALSE,";Chicken, leg;Coriander;",,,,,,,"Chicken, leg",,,,,,,,Coriander,,,,,,,,,,,,,,,,,,,"Brine chicken. 

Rempah:
shallots
garlic
coriander seeds.

Fry then add taucheo, tamarind and a little sugar.

Add chicken and stock, or sous vide. Keeps well. Also makes good gravy for roast chicken.

Garnish with coriander leaves.",,Keeps well,,,,,,,,,
Cauliflower soup,Soups,5/2/2016,,FALSE,;Cauliflower;Celery;Parsley;Thyme;Chives;Chicken stock;Potato;,,Cauliflower,Celery,,,,,,,,,,,,Parsley,Thyme,Chives,,,Chicken stock,,,,Potato,,,,,,,,,,"Make croutons:
Melt butter, whisk in dijon mustard, thyme and parley. Mix with torn crustless bread. Bake 180C for 12-15 mins.

Soften onion & celery in olive oil. Add caraway, bay and bouquet garni: thyme, parsley, lemon skin.
Add 2/3 cauliflower florets, diced potato & chicken stock. Simmer until soft, blend.
Add remaining florets, cook ~8 mins.

Garnish with lemon zest, chives and croutons.",,,http://www.ottolenghi.co.uk/recipes/soups/cauliflower-soup-with-mustard-croutons-shop,,,,,,,,
Pulled pork,Meat dishes,03/05/2016,,FALSE,";Pork, shoulder;",,,,,,,"Pork, shoulder",,,,,,,,,,,,,,,,,,,,,,,,,,,"For 1kg piece of pork.

Mix and rub into pork:
8g salt
24g brown sugar
1 tbsp paprika
1/2 tbsp garlic powder

Optional: 1/2 tsp liquid smoke

Sous vide 70C for 24 hours or 63C for 48 hours.

Optional finish: dry (can chill days ahead), apply extra rub, roast at 150C for ~1.5 hr until mahogany.

Dressing: infuse cider vinegar with dried chilli and black pepper, salt.",,,,,,,,,,,
Shashuka,Breakfast dishes,19/06/2016,,FALSE,";Tomatoes, fresh;Bell pepper;Parsley;Thyme;Coriander;",,"Tomatoes, fresh",Bell pepper,,,,,,,,,,,,Parsley,Thyme,Coriander,,,,,,,,,,,,,,,,,"Dry roast cumin seeds then add generous amount of oil and sliced onions.

Add red/yellow peppers (strips), brown sugar, bay, thyme, parsely & coriander, brown.

Add the tomatoes, saffron, chilli power, water. Season and simmer 15 minutes.

Break in eggs, season and cook 10 mins.",,,http://www.theguardian.com/lifeandstyle/2010/apr/16/yotam-ottolenghi-shakshuka-recipe,,,,,,,,
Breakfast cocktail,Breakfast dishes,,,FALSE,;Mint;Yoghurt;,,,,,,,,,,,,,,,Mint,,,,,,,,,,,,Yoghurt,,,,,,,"Per person:
Mix 1/2 lemon, 50ml gin, 1tsp sugar syrup, 2 tsp chilli jam. Add ice and 2tsp yoghurt. Shake, pour over ice. Garnish with mint.",,,http://www.yummly.com/recipe/external/GIN-JAM-AND-YOGURT-COCKTAIL-1219944,,,,,,,,
Beef rice soup,Soups,01/10/2017,,FALSE,";Beef, steak;Beef stock;",,,,,,,"Beef, steak",,,,,,,,,,,,,Beef stock,,,,,,,,,,,,,,"Prepare beef stock chinese style.
Sous-vide sirloin steak. Or slow cook chuck.
Slice, scatter over rice, pour over soup.
Optional: truffle oil or black truffle.
Ang moh version: mirepoix, farro/pearl barley, fish sauce.",,Claudia favourite,,,,,,,,,
Konbu broth,Sauces,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Steep konbu. Strain, season with soy and rice vinegar. Reduce as desired.",,,,,,,,,,,
Black fungus salad,Salads,18/07/2016,,FALSE,;Spring onion;,,,,,,,,,,,,,,,Spring onion,,,,,,,,,,,,,,,,,,,"Rehydrate fungus, boil 3-4 mins.
Dress with:
garlic, finely chopped
fresh red chillis
rice vinegar
light soy sauce
pinch sugar or mirin
sesame oil

chill 30 mins. garnish with spring onion.

can serve with mushroom tempura",,,http://thewoksoflife.com/2016/05/wood-ear-mushroom-salad/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TheWoksOfLife+%28The+Woks+of+Life%29,,,,,,,,
ang moh xo,Sauces,19/06/2016,,FALSE,;Bacon;,,,,,,,Bacon,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fry finely diced or minced smokey bacon until crispy.

add rempah:
garlic
chipotle
shallot

add gula melaka, ground bonito and season. 
Nice with:
Smokey brinjal
Green veg",,,,,,,,,,,
Cerviche with corn,Seafood dishes,11/06/2016,,FALSE,;Sweet corn;Avocado;Sea bass;Coriander;,,Sweet corn,Avocado,,,,,,,,Sea bass,,,,Coriander,,,,,,,,,,,,,,,,,,,"Dice fish (1.5com), marinande ~2 hrs:
½ red onion, thinly sliced 
1 red chillies, sliced 
garlic, thinly sliced 
3 tbsp lime juice 
salt

char the corn cobs, hack off kernels.

drain fish liquid, mix dressing:
rice vinegar
sugar
salt
grapeseed oil

mix with avocado, coriander, garnish with lime zest and diced chilli.",,,http://www.theguardian.com/lifeandstyle/2012/oct/12/corn-recipes-bass-ceviche-pancakes,,,,,,,,
Roast pork belly,Meat dishes,14/06/2016,,FALSE,";Carrots;Celery;Pork, belly;",,Carrots,Celery,,,,"Pork, belly",,,,,,,,,,,,,,,,,,,,,,,,,,,"Score, prick, apply salt and baking powder (4:1) and then dry pork skin. Roast at max for 20-30 mins. Reduce heat and slow roast, adding veg half way.",,,http://chefandsommelier.blogspot.sg/2012/04/roast-pork-belly.html?m=1,,,,,,,,
Sous vide beef cheeks,Meat dishes,28/06/2016,,FALSE,";Carrots;Mushrooms;Bacon;Beef, cheek;Rosemary;",,Carrots,Mushrooms,,,,Bacon,"Beef, cheek",,,,,,,Rosemary,,,,,,,,,,,,,,,,,,,"Sous vide cheeks 8 hrs at 82C with:
cloves
bay
rosemary
garlic
olive oil
salt

Add carrots (shallots, whole) in separate bag with butter (olive oil) for the last 1 hr (30 mins).

Fry bacon and mushrooms in butter, add shallots... golden. Deglaze with wine and a little balsamic.

Add cheeks and strained liquid. Add more liquid if necessary, simmer 20 mins.

Serve on bed of mushrooms and shallots. Blowtorch cheeks and carrots if desired.",,,http://chefandsommelier.blogspot.sg/2012/03/sous-vide-beef-cheeks.html,,,,,,,,
Baked sticky rice,Carbohydrates,09/06/2016,,FALSE,";Pork, belly;Coriander;Rice, sticky;lap cheong;",,,,,,,"Pork, belly",,,,,,,,Coriander,,,,,,,,,"Rice, sticky",,,,,,lap cheong,,,,"Soak 500g glutinous rice >1/2hr.

Mix dark soy, oyster sauce, fish sauce, 5 spice & pepper. Marinate pork belly and mix rest with hot water to rehydrate shitaake, scallaps and hae bee (retain to cook rice).

Fry crispy shallots in tagine. Brown peanuts. Remove and reserve some oil.
Add in turn:
finely chopped hae bee
scallops
garlic
pork
skinned lap cheong & shitaake
rice
seasoned water

Liquid should barely cover. Transfer to 200C oven. Fluff after 15 mins, return for 10-15 mins more.
 Mix in shallot oil, garnish with shallots, peanuts and coriander.",,,http://chefandsommelier.blogspot.sg/2016/04/baked-glutinous-rice.html,,,,,,,,
Beef with chipotle,Meat dishes,24/06/2016,,FALSE,";Carrots;Celery;Beef, cheek;Coriander;Chicken stock;",,Carrots,Celery,,,,"Beef, cheek",,,,,,,,Coriander,,,,,Chicken stock,,,,,,,,,,,,,,"Gently char dried chilli assortment, then rehydrate. Heat cumin seeds.
Brown beef, set aside. Add mirepoix, garlic, cumin, cloves, cocoa nibs. Deglaze with stock, vinegar, dried chillis and liquid, fish sauce. Reduce by half then blend.
Cook beef with sauce and bay leaf at 140C for 4 hours. Or pressure cook 30 mins.
Remove beef and reduce sauce if necessary.
Better the next day.
Season, garnish with coriander and lime.",,,,,,,,,,,
Cuban roast pork,Meat dishes,28/10/2016,,FALSE,";Orange;Pork, shoulder;Mint;Oregano;",,Orange,,,,,"Pork, shoulder",,,,,,,,Mint,Oregano,,,,,,,,,,,,,,,,,,"Mix sauce:
orange juice and zest
lime juice
a little marmalade
garlic
oregano
cumin
pepper

Add half to brine, reserve half for basting (mix with olive oil)

Brine pork.

Roast at 135C covered in foil for a few hours. Uncover and roast at 160C until browned, basting.

Mix pork drippings with mint and oregano.",,,http://www.seriouseats.com/2016/06/food-lab-cuban-roast-pork-with-mojo.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+seriouseatsfeaturesvideos+%28Serious+Eats%29,,,,,,,,
Macaroni cheese,Carbohydrates,04/07/2016,,FALSE,;Fontina;,,,,,,,,,,,,,,,,,,,,,,,,,,,Fontina,,,,,,,"For 2 people allow ~ 150g pasta, 500ml milk, 30g butter/flour, 75g cheese (fontina, gruyere, chedder, or similar).
Cook pasta al dente.
Infuse milk with onion, bay, nutmeg (herbs optional - oregano, thyme..). Mix into roux.
Season with white pepper, black pepper and a little salt. Mix with pasta, cubed cheese & tsp dijon.
Sprinkle generously with pecorino and breadcrumbs.
Bake 30 mins @ 200C.
Serve with salad, eg. spinach, fennel, pear.",,,,,,,,,,,
Chipotle and chorizo,Sauces,,,FALSE,;Chorizo;Chicken stock;,,,,,,,Chorizo,,,,,,,,,,,,,Chicken stock,,,,,,,,,,,,,,"Rehydrate and blend chipotle and other available dried chillies
Render fat from chorizo, brown onion/shallot and then garlic. Simmer with a little stock or water. Balance with honey and lemon. Good with chicken.
Options: thicken with bonito powder.",,,,,,,,,,,
Rendang,Meat dishes,29/01/2017,,FALSE,";Beef, cheek;Lemongrass;Daun kunyit;Turmeric, fresh;Galangal;Grated coconut;",,,,,,,"Beef, cheek",,,,,,,,Lemongrass,Daun kunyit,,,,,,,,,,,,,,"Turmeric, fresh",Galangal,Grated coconut,,"kerisik:
toast grated coconut on low heat until golden (~30 mins)
pound until oily and sticky.

Roast and grind coriander and cumin.

Rempah:
dried chilli, rehydrated (lots)
chili padi
shallots (lots)
kunyit
kunyit leaf
galangal (easy)
ginger
lemongrass
ground spices (go easy)

Dry roast whole spices: star anise (a little), a few cardamom seeds (be careful), cloves. Add oil, rempah and kerisik. Fry ~15 mins.

Add beef (eg. cheek, topside, shank), asam keping (1 or 2), coconut milk (go easy), gula melaka, sliced daun kunyit, water to almost cover.

Cook slowly until almost dry. Add another spoon of kerisik and  plenty of diced kaffir lime leaves.",,,http://www.foodcanon.com/2011/03/beef-rendang.html,,,,,Recipes_Images/Rendang.Picture 1.022605.jpg,,,
Salmon rice bowl with avocado,One-dish meals,11/11/2016,,FALSE,;Cucumber;Avocado;Salmon;Spring onion;,,Cucumber,Avocado,,,,,,,,Salmon,,,,Spring onion,,,,,,,,,,,,,,,,,,,"Marinade salmon in sake, mirin, soy, rice vinegar. Sous vide 42C for 25 mins. Cook short-grain rice.

Salt cucumber cubes, mix with diced avocado, sliced spring onion, lemon/lime juice. Reduce salmon juices, toss altogether, adjust seasoning.

Optional: roasted red peppers",,,,,,,,,,,
Tempura,Seafood dishes,03/10/2016,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mix batter as oil heats (to ~170C):
1 egg yolk, lightly beat
1 cup ice water, pour into egg, a few strokes
1 cup of flour, add all at once, a few strokes until loosely combined and lumpy

Dry, dredge in flour, shake excess, dip in batter and slide into oil for ~3 mins.

Try: prawns, white fish, lotus root, mushrooms, sweet potato, shiso.",,,,,,,,,,,
Gyudon,One-dish meals,15/12/2016,,FALSE,";Daikon;Beef, chuck;Spring onion;Dashi;",,Daikon,,,,,"Beef, chuck",,,,,,,,Spring onion,,,,,Dashi,,,,,,,,,,,,,,"Put beef in freezer ~1hr to firm up a little, slice as thin as possible.
Sous vide eggs 62C (are stir in raw at end).
Caramelise onions. Mix dashi, soy, sake and sugar, use to deglaze. Add rest of sauce and daikon slices (optional), simmer until tender.
Add beef, reduce down for a couple of minutes. Add some grated ginger.
Serve over rice with egg, shredded spring onion, chili powder (pickles optional).",Japanese,,,,,,,,,,
Corn with chorizo,Salads,22/07/2016,,FALSE,;Sweet corn;Chorizo;Coriander;,,Sweet corn,,,,,Chorizo,,,,,,,,Coriander,,,,,,,,,,,,,,,,,,,"Dice and render fat from chorizo and olive oil. 
Cut kernels from cobs and fry on high heat until charred.
Season and stir in coriander and lime.",,,,,,,,,,,
Corn elotes,Vegetable dishes,18/12/2016,,FALSE,";Sweet corn;Coriander;Feta;Cream, sour;",,Sweet corn,,,,,,,,,,,,,Coriander,,,,,,,,,,,,Feta,"Cream, sour",,,,,,"Grill corn on the cob.

Mix sauce until homogenous: 
mayonnaise
sour cream or crema
crumbled feta or cotija 
 ancho or guajillo chili powder
crushed garlic
coriander

Coat corn in sauce, serve with lime, sprinkled chilli powder and feta.",,,http://www.seriouseats.com/recipes/2013/07/mexican-street-corn-elotes-recipe.html,,,,,,,,
"Corn, chicken and avocado",Salads,13/09/2016,,FALSE,";Avocado;Sweet corn;Chicken, breast;Spring onion;",,Avocado,Sweet corn,,,,"Chicken, breast",,,,,,,,Spring onion,,,,,,,,,,,,,,,,,,,"Brine chicken with ginger juice and s onion. SV 60C 1hr.

Grill corn and remove kernels.

Combine miso, lemon juice, mirin, mustard, olive oil, garlic, and togarashi.

Mix everything with avocado and s onion.",,,,,,,,,,,
Pork stuffed with coconut,Meat dishes,,,FALSE,";Pork, fillet;Spring onion;Coconut, whole;",,,,,,,"Pork, fillet",,,,,,,,Spring onion,,,,,,,,,,,,,,,"Coconut, whole",,,,"Flatten pork fillet and marinade in oyster sauce, palm sugar, salt & pepper.
Blanch spring onion strings to tie the parcels.
Julienne the coconut flesh and stuff inside pork, tie up and seal in ziploc bag. SV 57C 1hr.
Char on hot grill.
Slice rolls, serve with fish sauce vinaigrette and sliced spring onions.",Southeast Asian,,,,,,,,,,
Chickpea salad,Salads,,,FALSE,";Cucumber;Tomatoes, fresh;Mint;Coriander;Chickpeas;",,Cucumber,"Tomatoes, fresh",,,,,,,,,,,,Mint,Coriander,,,,,,,,Chickpeas,,,,,,,,,,"Soak (overnight) and cook (1-2hrs) chickpeas, or used canned (75g dried = 1 tin). Optional: roast 1hr @ 165C with a little cumin, paprika, olive oil until size reduced by 25%.

Mix crushed garlic, green chilli, diced red onion, lemon juice, rw vinegar, olive oil, salt and pepper.

Add chickpeas, diced cucumber, cherry tomatoes, mint and coriander. Season. Can chill.",,,,,,,,,,,
Fish sauce vinaigrette,Pre-prepared ingredients,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rempah: garlic, dried red chilli, green chilli. Pound in gula melaca, fish sauce, and lime juice. Taste and adjust. Add water if desired.",,,,,,,,,,,
"Pomelo, courgette and green bean",Salads,08/08/2016,,FALSE,;Green beans;Pomelo;Courgette;Mint;Fish sauce vinaigrette;,,Green beans,Pomelo,Courgette,,,,,,,,,,,Mint,,,,,Fish sauce vinaigrette,,,,,,,,,,,,,,"Cut green beans 1''. Blanch 1 min and refresh. Cut courgette to half moons.

Combine beans, courgette, sliced shallot, pomelo, mint and dressing.",,,,,,,,,,,
Grilled green bean and pepper,Salads,08/08/2016,,FALSE,;Green beans;Bell pepper;radishes;Parsley;Spring onion;,,Green beans,Bell pepper,radishes,,,,,,,,,,,Parsley,Spring onion,,,,,,,,,,,,,,,,,,"Roast skin off peppers.

Trim green beans, coat in olive oil, season, char on griddle until blistered.

Mix lemon juice and mustard, slowly whisk in olive oil, whisking constantly. Season and combine with peppers, beans, spring onions whites, thinly sliced radishes.",,,,,,,,,,,
Peach and mozzarella,Salads,,,FALSE,;Peaches;Basil;Mozzarella;,,Peaches,,,,,,,,,,,,,Basil,,,,,,,,,,,,Mozzarella,,,,,,,"Grill peaches. Shred mozzarella and basil. Glaze with marmalade, chilli, lemon, and olive oil.",,,,,,,,,,,
Lemongrass pork,Meat dishes,09/09/2016,,FALSE,";Carrots;Pork, chop;Lemongrass;Fish sauce vinaigrette;",,Carrots,,,,,"Pork, chop",,,,,,,,Lemongrass,,,,,Fish sauce vinaigrette,,,,,,,,,,,,,,"Rempah marinade:
white pepper
salt
2 parts lemongrass
To 1 part  shallot
garlic
palm sugar, generous
fish sauce, generous
vegetable oil

Marinade pork chops overnight. Sous vide/grill until charred.

Serve with nuoc cham, juleinned carrot/daikon.",,,,,,,,,,,
Devilled eggs,Breakfast dishes,10/09/2016,,FALSE,;prosciutto;,,,,,,,prosciutto,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bring eggs to boil, off heat, sit 10 minutes, refresh in cold water.
Peel, half, mix yolks with mayonnaise and salt. Serve still warm with prosciutto.",,,,,,,,,,,
